"Path"	"Cycle_Start"	"Overpass"	"Cycle"
"159"	159	"01/13/2020"	18282	8
"160"	160	"01/13/2020"	18289	15
"161"	161	"01/13/2020"	18280	6
"162"	162	"01/13/2020"	18287	13
"163"	163	"01/13/2020"	18278	4
"164"	164	"01/13/2020"	18285	11
"165"	165	"01/13/2020"	18276	2
"166"	166	"01/13/2020"	18283	9
"167"	167	"01/13/2020"	18290	16
"168"	168	"01/13/2020"	18281	7
"169"	169	"01/13/2020"	18288	14
"170"	170	"01/13/2020"	18279	5
"171"	171	"01/13/2020"	18286	12
"172"	172	"01/13/2020"	18277	3
"173"	173	"01/13/2020"	18284	10
"174"	174	"01/13/2020"	18275	1
"175"	175	"01/13/2020"	18282	8
"176"	176	"01/13/2020"	18289	15
"177"	177	"01/13/2020"	18280	6
"178"	178	"01/13/2020"	18287	13
"179"	179	"01/13/2020"	18278	4
"180"	180	"01/13/2020"	18285	11
"181"	181	"01/13/2020"	18276	2
"182"	182	"01/13/2020"	18283	9
"183"	183	"01/13/2020"	18290	16
"184"	184	"01/13/2020"	18281	7
"185"	185	"01/13/2020"	18288	14
"186"	186	"01/13/2020"	18279	5
"187"	187	"01/13/2020"	18286	12
"188"	188	"01/13/2020"	18277	3
"189"	189	"01/13/2020"	18284	10
"190"	190	"01/13/2020"	18275	1
"191"	191	"01/13/2020"	18282	8
"192"	192	"01/13/2020"	18289	15
"193"	193	"01/13/2020"	18280	6
"194"	194	"01/13/2020"	18287	13
"195"	195	"01/13/2020"	18278	4
"196"	196	"01/13/2020"	18285	11
"197"	197	"01/13/2020"	18276	2
"198"	198	"01/13/2020"	18283	9
"199"	199	"01/13/2020"	18290	16
"200"	200	"01/13/2020"	18281	7
"201"	201	"01/13/2020"	18288	14
"202"	202	"01/13/2020"	18279	5
"203"	203	"01/13/2020"	18286	12
"204"	204	"01/13/2020"	18277	3
"205"	205	"01/13/2020"	18284	10
"206"	206	"01/13/2020"	18275	1
"207"	207	"01/13/2020"	18282	8
"208"	208	"01/13/2020"	18289	15
"209"	209	"01/13/2020"	18280	6
"210"	210	"01/13/2020"	18287	13
"211"	211	"01/13/2020"	18278	4
"212"	212	"01/13/2020"	18285	11
"213"	213	"01/13/2020"	18276	2
"214"	214	"01/13/2020"	18283	9
"215"	215	"01/13/2020"	18290	16
"216"	216	"01/13/2020"	18281	7
"217"	217	"01/13/2020"	18288	14
"218"	218	"01/13/2020"	18279	5
"219"	219	"01/13/2020"	18286	12
"220"	220	"01/13/2020"	18277	3
"221"	221	"01/13/2020"	18284	10
"222"	222	"01/13/2020"	18275	1
"223"	223	"01/13/2020"	18282	8
"224"	224	"01/13/2020"	18289	15
"225"	225	"01/13/2020"	18280	6
"226"	226	"01/13/2020"	18287	13
"227"	227	"01/13/2020"	18278	4
"228"	228	"01/13/2020"	18285	11
"229"	229	"01/13/2020"	18276	2
"230"	230	"01/13/2020"	18283	9
"231"	231	"01/13/2020"	18290	16
"232"	232	"01/13/2020"	18281	7
"233"	233	"01/13/2020"	18288	14
