,Polygon,Overpass
16,"['-104.3027692643145,-34.6956105216135', '-105.8469804227088,-34.37518887116114', '-106.9875386967003,-37.8815306100505', '-108.2229349995365,-41.37639805940967', '-109.4247861301248,-44.48558388161482', '-107.6393761358609,-44.83859840872447', '-105.8323412917489,-45.16354710478904', '-104.8079995729187,-42.03316723876383', '-103.7426996451201,-38.51876360494885', '-102.7465554861009,-34.99647524280569', '-104.3027692643145,-34.6956105216135']",2020-04-02
17,"['-15.76571512493597,-13.18732279310441', '-17.0671285491103,-12.89826132181749', '-17.91018675777263,-16.44651217546056', '-18.78056899905284,-19.99034170461306', '-18.82583739286044,-20.17106164994948', '-17.47188512902078,-20.4671645422744', '-16.11258152261848,-20.7527898362289', '-16.07061356622858,-20.57175307558928', '-15.25825249392414,-17.02240357444384', '-14.46112098705545,-13.46983215551057', '-15.76571512493597,-13.18732279310441']",2020-04-03
18,"['-119.3605346210024,-25.27211214853541', '-120.764123729859,-24.96967517826538', '-121.2285181491841,-26.69146768807192', '-119.803811748198,-26.99658198763866', '-118.3712563598813,-27.28734654929002', '-117.9498251456782,-25.56126249323493', '-119.3605346210024,-25.27211214853541']",2020-04-03
19,"['-121.9040192184331,-34.6236467951442', '-123.4468976648264,-34.30339836652193', '-124.5857092711811,-37.8099563643486', '-125.8189534794807,-41.30507783983447', '-126.5212956983874,-43.15947789080251', '-124.7745517553724,-43.5070961306035', '-123.0078822168349,-43.82790770492922', '-122.4077747714877,-41.9614066062743', '-121.3440589391895,-38.44683035265999', '-120.3491858192696,-34.92439108030665', '-121.9040192184331,-34.6236467951442']",2020-04-03
20,"['-114.4486164252774,-34.95335562377949', '-115.9976349467215,-34.63230836729015', '-117.1444693219084,-38.13787061024198', '-118.3876388817724,-41.63182228300689', '-119.3448570124911,-44.11303228816911', '-117.5705622576577,-44.46448874507657', '-115.7751381655312,-44.78823828321097', '-114.9591097854497,-42.29018585934724', '-113.8880949710512,-38.77640316872034', '-112.8874228638826,-35.25465625469694', '-114.4486164252774,-34.95335562377949']",2020-04-04
21,"['-152.0702799782225,18.84235624407132', '-153.406047584263,19.12506744345582', '-153.7534166187438,17.60574448162631', '-152.4291891070434,17.32360862797386', '-151.1092617114853,17.03283954563729', '-150.7392700602184,18.55020199527488', '-152.0702799782225,18.84235624407132']",2020-04-04
22,"['-25.78982086779585,-12.98661988013794', '-27.09013354637328,-12.69771621695258', '-27.93182641895278,-16.24619315970546', '-28.80050111407246,-19.79029410330406', '-28.84566679618719,-19.9710284231549', '-27.49350677324703,-20.26689971504297', '-26.13606219370723,-20.55240613908754', '-26.09416942661546,-20.3713582119245', '-25.28280843780296,-16.82180939091538', '-24.48638123458613,-13.26907537987509', '-25.78982086779585,-12.98661988013794']",2020-04-05
23,"['-106.8718309622211,-34.87090709485042', '-108.4193090999324,-34.55006061855084', '-109.5641237023727,-38.05587342363995', '-110.8047942580412,-41.55011942617995', '-111.9277520633644,-44.44968169363883', '-110.1434218931528,-44.80254460524534', '-108.337515269694,-45.1273764489099', '-107.3806253496385,-42.20797061943518', '-106.3114466934887,-38.69398854646161', '-105.3122332197421,-35.17206764227498', '-106.8718309622211,-34.87090709485042']",2020-04-05
24,"['79.22245237225832,-26.43611003118432', '77.80481280283398,-26.1318916782088', '77.39150023307232,-27.64043936443281', '78.8286603024232,-27.94713314268724', '80.27409679164653,-28.23887687453796', '80.64769777218199,-26.72632770299238', '79.22245237225832,-26.43611003118432']",2020-04-06
25,"['-18.23943242155543,-12.99564559612463', '-19.53979460061315,-12.70673484103577', '-20.38154838301733,-16.25520168288391', '-21.25030034558209,-19.7992906342091', '-21.34881249819683,-20.1929685126146', '-19.99466162908813,-20.48909700201197', '-18.6351520724782,-20.77473550889345', '-18.54380791906263,-20.3803701661786', '-17.73239940976558,-16.83083025925962', '-16.93594087556283,-13.27810351273413', '-18.23943242155543,-12.99564559612463']",2020-04-06
26,"['-99.35803527993997,-35.00185353387259', '-100.9079684408998,-34.68068736149068', '-102.0560052774148,-38.18610182941348', '-103.3006605818385,-41.67987947735753', '-104.3431502821599,-44.36999437034614', '-102.561212902479,-44.72252172685073', '-100.7578060093268,-45.04709513362349', '-99.86956240040317,-42.33854544928452', '-98.79744622233038,-38.82488102893763', '-97.7958943241043,-35.30323715628622', '-99.35803527993997,-35.00185353387259']",2020-04-06
27,"['-121.810480633253,-25.00608677831869', '-123.2109753243913,-24.70404234602748', '-123.6159832269659,-26.21378504446175', '-122.1973204741281,-26.51813304144476', '-120.771016698092,-26.80842945958112', '-120.4029730190212,-25.29500577516988', '-121.810480633253,-25.00608677831869']",2020-04-06
28,"['-51.75815502412559,27.41633359041831', '-53.18255612654539,27.70464214551872', '-54.04609915525749,24.15704499182843', '-54.874801296922,20.63814119578862', '-53.52638202423662,20.35474531540402', '-52.1831992521176,20.06108550911949', '-51.28736663677828,23.5738849872793', '-50.34163513993561,27.1136897489893', '-51.75815502412559,27.41633359041831']",2020-04-07
