,Polygon,Overpass
234,"['101.705308395571,81.36867244229815', '100.0797242885238,82.65666794453207', '76.19770460270165,81.26692152612347', '60.52469226631006,78.88002056880491', '50.65133349767066,75.9962810320517', '44.10278656624731,72.86396010319919', '39.47094544635913,69.59637715079096', '36.00391478424734,66.24841118003329', '33.28501668683835,62.84889820463628', '31.07031690861951,59.41415858597782', '29.20925952627937,55.9540287821082', '27.60448680919692,52.47476234802897', '26.19044119599401,48.98052660505381', '24.92143344774701,45.47421922219593', '23.76464296621968,41.95794092282219', '22.6958221532875,38.43328209202114', '21.69662087673093,34.90149889923265', '20.75283081921438,31.36362760319213', '19.85320734795092,27.82055991002483', '18.98865755827223,24.27309355239467', '18.15166628059562,20.72196663985989', '17.33587989360799,17.16788111984167', '16.53579642589058,13.61151880007306', '15.74652255345542,10.05355269106649', '14.96360126867815,6.494653245740444', '14.18284096824687,2.935494262761134', '13.40018096272254,-0.6232434063352861', '12.61156857538465,-4.180868926129242', '11.81283641120796,-7.736678269587898', '10.99957418265918,-11.28995017125174', '10.16698675256964,-14.83994045458613', '9.30972866645447,-18.38587380616672', '9.204790113540252,-18.81160603232996', '10.54695838574952,-19.10618005133794', '11.89403332858846,-19.39103679252857', '11.9918399095256,-18.96462536027459', '12.79667701986563,-15.4137358802987', '13.58853041126924,-11.85991933599627', '14.37202039708209,-8.303827833766979', '15.15143168618005,-4.746119584513903', '15.93085664332469,-1.187463161782246', '16.71432380864086,2.371459226576869', '17.50592040126171,5.929948719811198', '18.30991673430662,9.487286330717998', '19.13090022700288,13.04272826776492', '19.97392698671644,16.59549923397089', '20.84470900844948,20.14478262356734', '21.74983927680074,23.68970619272271', '22.69708267746825,27.22932149301923', '23.69575848415378,30.7625744086042', '24.75725489999216,34.28826303298683', '25.89573626249377,37.80497722458945', '27.12913572536117,41.31101111459218', '28.48057882400376,44.80423474017215', '29.98047136783631,48.2819022638113', '31.66962470455556,51.74036014579168', '33.60410909852624,55.1745853391342', '35.86291019978053,58.57743951998958', '38.56037704979114,61.93842082005081', '41.8670765794917,65.24148063793396', '46.04532383865339,68.46105286202798', '51.50949626537113,71.5545390843071', '58.92091209079683,74.44773574176341', '69.28954951262332,77.00736172049298', '83.84497206953074,78.99917187748723', '102.9104474423977,80.07600925084438', '101.705308395571,81.36867244229815']",2020-03-31
235,"['82.71656583193456,81.4682496723398', '82.14457747806061,82.77344831217937', '56.37770670852854,81.74748187945471', '38.71447301038559,79.55839478215717', '32.67189149644334,78.24791958468452', '37.34113907313665,77.38808368229502', '41.40017208402246,76.45788555578368', '47.42508358106513,77.58800908462344', '63.20009185121721,79.37992215783046', '83.13757573061247,80.16284592370262', '82.71656583193456,81.4682496723398']",2020-03-31
236,"['23.69046639585052,72.71691239139508', '19.77766737976958,73.35238958955382', '14.91365576539226,70.10095497703831', '11.30175482040024,66.76295154437838', '8.487605077973361,63.37002822104784', '6.207451406387301,59.9399087853604', '4.299751568218963,56.48318081751597', '2.660739485627224,53.00652415949043', '1.220958077629144,49.5143587938645', '-0.0677696173673967,46.00973949422592', '-1.239926157074911,42.49486860288728', '-2.320861763106137,38.97140055233858', '-3.329681263017249,35.44063293804216', '-4.281137335231512,31.90362995214224', '-5.186866972930718,28.36130160796213', '-6.056249453712672,24.81445744221472', '-6.89701054244575,21.26384293525964', '-7.715658866199295,17.71016437396738', '-8.517809484628335,14.15410583726619', '-9.308430886275334,10.59634075750244', '-10.09203999373126,7.037539761343526', '-10.72455088657984,4.154555236830938', '-9.457078690170208,3.873411485108077', '-8.190490667670643,3.590388192112389', '-7.547179624752493,6.472656385819469', '-6.740897827197539,10.02975360041363', '-5.916893727733804,13.58483912554675', '-5.070022003207297,17.13713210450021', '-4.194452231504524,20.68580848303237', '-3.283433368094155,24.22998589882501', '-2.328990863743371,27.76870193954037', '-1.321527049678408,31.30088302983449', '-0.249281757236246,34.82529993880534', '0.9024114220210189,38.3405038713082', '2.152172463475371,41.84473379863972', '3.524073626159701,45.33578089984523', '5.049870917530115,48.81078340130436', '6.772352803747158,52.26591247576681', '8.750499612601477,55.69587962359804', '11.06772163396805,59.09313176243421', '13.8453207382287,62.44649355879889', '17.26508220063946,65.73878288843275', '21.60783826819682,68.94244467126032', '27.31861646838462,72.01124472912133', '23.69046639585052,72.71691239139508']",2020-03-31
237,"['-26.99838881885786,-55.79227116288345', '-29.22158667865538,-55.37364459064509', '-31.49925927979184,-58.76021705775668', '-32.02700182665249,-59.46358855490772', '-29.56015828629115,-59.92228728556774', '-27.02701213722382,-60.33379269126521', '-26.59555616110589,-59.61602988383439', '-24.72859504976607,-56.17005217340602', '-26.99838881885786,-55.79227116288345']",2020-03-31
238,"['59.16175229159635,81.4781984107467', '58.8736277038384,82.78514446089473', '32.68717297183834,81.85987352325223', '14.48041389489521,79.72818064661477', '5.212813818637967,77.63099348874287', '9.809195540683099,76.80881985102519', '13.85259881618926,75.91468763017659', '23.15641724578186,77.7317172939669', '39.24867581695965,79.46776633566792', '59.37366987658056,80.17150821216259', '59.16175229159635,81.4781984107467']",2020-03-31
239,"['-4.43078740265798,71.10969165791599', '-8.090789082813854,71.69623623003128', '-9.759093667777053,70.49374435842904', '-6.268220248499894,69.93737975730511', '-2.969326776393702,69.31635199163864', '-0.9961540809164636,70.45604045046748', '-4.43078740265798,71.10969165791599']",2020-03-31
240,"['-10.81074812958867,66.29782891946306', '-13.85548379870194,66.7817089460689', '-16.67321664112657,63.38903309546804', '-17.04251397736684,62.87990082395038', '-14.36178687716142,62.44916541506999', '-11.76233091355299,61.96866217779186', '-11.31244818759076,62.46501163686994', '-7.888443896322795,65.75689667500511', '-10.81074812958867,66.29782891946306']",2020-03-31
241,"['-25.33451558511007,40.33724886367206', '-26.99251085527503,40.64532933779259', '-28.03348428001717,37.11788184349652', '-28.18280202648869,36.59157408972899', '-26.61423200280766,36.29167396277315', '-25.05845576824883,35.97152829077488', '-24.88821905807742,36.49556905829031', '-23.69258611562675,40.00580634963486', '-25.33451558511007,40.33724886367206']",2020-03-31
242,"['-36.34244891653407,-3.893074197648164', '-37.61085812387007,-3.609613221094359', '-38.4076758803756,-7.165762305868046', '-39.21829319898364,-10.71949115574106', '-40.04743299760426,-14.27005975259961', '-40.90033988297215,-17.81669848044436', '-41.78297467646602,-21.35859687006072', '-42.38421923967477,-23.68981735348454', '-40.99515759070147,-23.99041037448627', '-39.59948201593917,-24.27848698367878', '-39.04713459012539,-21.94250108189917', '-38.22747068322471,-18.39457172666597', '-37.42504976614769,-14.84316829008714', '-36.63484112206851,-11.28894233525682', '-35.85228890441088,-7.732546593651036', '-35.07314846053947,-4.174640685584374', '-36.34244891653407,-3.893074197648164']",2020-03-31
243,"['34.01807590850933,81.47832372285205', '33.73542425386263,82.78529184098468', '7.541252496215998,81.86197879822974', '1.802773144606222,81.37887020316049', '5.98354089849956,80.25372362061295', '9.292159425811535,79.08858909997657', '14.0975449157452,79.46940726971791', '34.22596619026636,80.1716173454372', '34.01807590850933,81.47832372285205']",2020-03-31
244,"['-11.27143950311294,77.77267851908452', '-15.97681837358537,78.65978484082086', '-25.50388524644521,75.74916203315252', '-31.85598703397447,72.60274940671062', '-36.37126041547385,69.32707891286432', '-39.765079216304,65.9740790802724', '-42.43556982540235,62.57121178030862', '-44.61685058090255,59.13410571670597', '-44.7749143765128,58.85808461821173', '-42.38518529468061,58.46647224414198', '-40.05167794082568,58.03157915912977', '-39.85946679263269,58.30258362115269', '-37.20303878867464,61.66746903215845', '-33.95404174633293,64.97602097419618', '-29.85944647964309,68.20366210606795', '-24.5202716029216,71.30959340869528', '-17.29951160815129,74.22298520127698', '-7.216992695657202,76.81678334940166', '-11.27143950311294,77.77267851908452']",2020-03-31
245,"['-56.46389121236945,18.59843576610742', '-57.79772775255899,18.88104714845004', '-58.60473705876973,15.32569789529848', '-59.39863895842125,11.76842090312603', '-60.18408001770538,8.209887032322873', '-60.9653657107989,4.650768143444593', '-61.74660833649449,1.091741950363374', '-62.53184327580026,-2.466506416206464', '-63.32516680803651,-6.02327976640807', '-64.13085550049527,-9.577865734920248', '-64.9535000590984,-13.12953204054978', '-65.79815811785362,-16.67751961893647', '-66.67053649817171,-20.22103263551147', '-67.57721709509562,-23.75922403811468', '-68.52594575475406,-27.29117483211317', '-69.52601154629734,-30.81586451844344', '-70.58875423413615,-34.33212897531887', '-71.72825999256331,-37.8386005043452', '-72.96236245587136,-41.33362048742466', '-74.3140256140434,-44.81511196135305', '-75.81340675239655,-48.28038997793975', '-77.50093952740531,-51.72587227575249', '-78.40582784931209,-53.39353169378404', '-76.28194606843933,-53.79655749548414', '-74.11818437255376,-54.16145573193628', '-73.36951301971084,-52.47268747055703', '-71.96361590475338,-48.99042648757676', '-70.70113015398808,-45.49556735515669', '-69.54968114272033,-41.99012531485564', '-68.48533542535249,-38.4756179561381', '-67.48996168569187,-34.9532388410375', '-66.54949442965958,-31.42396977774009', '-65.65281575630293,-27.8886539064296', '-64.79092073821312,-24.34804666770225', '-63.95635770917745,-20.80284938069065', '-63.14282174207463,-17.25373239506587', '-62.34484869246296,-13.70135102939044', '-61.5575802323564,-10.14635644949982', '-60.77657702336325,-6.58940306820758', '-59.9976638276057,-3.031153631506357', '-59.21679453388977,0.5277170945035021', '-58.42992741279453,4.08651926248698', '-57.63290258947393,7.644544781886628', '-56.82131760583254,11.20106339899447', '-55.99037860523335,14.75531716532116', '-55.1347373781184,18.30651234003116', '-56.46389121236945,18.59843576610742']",2020-03-31
246,"['11.53383013089115,81.48009404735024', '11.72461479707251,82.78737351545712', '2.995358718894854,82.72954721761558', '4.101650314148332,81.43086782121868', '4.918158733366846,80.13027500802613', '11.39352636409123,80.17315823011009', '11.53383013089115,81.48009404735024']",2020-03-31
247,"['-7.768905558510435,81.0488801819134', '-10.71881689052798,82.28492697168394', '-31.38915876786306,80.43679373215555', '-44.48007929351326,77.81647213489167', '-52.85245550738048,74.81797518127083', '-58.54574308182271,71.62470966298122', '-62.66589108875319,68.321711077063', '-65.80899953660386,64.95146731761513', '-68.31230141590326,61.53698023300329', '-70.37732530459356,58.09159660977571', '-72.1308245242666,54.62353818507456', '-73.65609802173117,51.13812979651924', '-75.01001194159866,47.63897916515034', '-76.23269159358638,44.12863645310472', '-77.35328469640471,40.60898123393397', '-78.39352305284588,37.08145898134728', '-79.37000027393975,33.54723059576539', '-79.6849691357009,32.36282283773734', '-78.19281855523627,32.06935608208995', '-76.71082572166006,31.75859115377034', '-76.35682549871471,32.93897071412766', '-75.24971880913103,36.4593052020405', '-74.05508777322777,39.96965488634115', '-72.75199961489933,43.46807086102954', '-71.31313959824922,46.95207126464002', '-69.70213510387845,50.41839288437826', '-67.8694726237995,53.86260542308168', '-65.74609965460279,57.27849450038487', '-63.23311601927365,60.65704071133567', '-60.18470223742819,63.98466497780839', '-56.37922147509207,67.24009172884027', '-51.46973297231089,70.38847580775861', '-44.90281266074851,73.3701121464609', '-35.80939142936173,76.07866964266287', '-22.98880604015677,78.32370678864648', '-5.534689722419591,79.79553138522793', '-7.768905558510435,81.0488801819134']",2020-03-31
248,"['-78.9442241121382,29.32852910520343', '-80.39457682441109,29.61874321443022', '-81.27589331176215,26.07341314560152', '-82.12600703089198,22.52405383388742', '-82.95181645831609,18.97138316234903', '-83.75922367975744,15.41609161833784', '-84.55340636113948,11.85885572940756', '-85.3390130059871,8.300345918622446', '-85.44864301412653,7.801735442261871', '-84.17334586836041,7.520980119326136', '-82.8997850404978,7.236563539252979', '-82.78729886820312,7.73496392418706', '-81.97528338483809,11.29143450394013', '-81.14378372753068,14.84562053038694', '-80.28743780227188,18.39672720300935', '-79.40011880545853,21.94391183290696', '-78.47468019494845,25.48626657727486', '-77.50262342397362,29.0227937551113', '-78.9442241121382,29.32852910520343']",2020-03-31
249,"['-15.39498527314135,81.47672368818945', '-15.51262201753054,82.78341263838448', '-41.93365973353593,81.92435562996235', '-60.46898405279528,79.82814852625207', '-72.11117084517906,77.08595820647102', '-79.66038644676409,74.02635879590871', '-84.87864454674833,70.79967110627335', '-88.70931124777877,67.47671979478567', '-91.66601287965925,64.09363612653102', '-94.0434293356995,60.67035135410075', '-96.02001702449084,57.21861397186475', '-97.70934752589069,53.74575929082618', '-99.18681755992442,50.25659430830316', '-100.5043518738179,46.75441143227592', '-101.698871084203,43.2415625877673', '-102.7973784405204,39.71979976390654', '-103.8201318879571,36.1904850546588', '-104.7826890015008,32.65472447303414', '-105.6972652907943,29.11345546476591', '-106.5736671425348,25.56750560682765', '-107.419929953372,22.01763155227186', '-108.0288919754619,19.39673308559411', '-106.6909397626462,19.11390739433918', '-105.3578294202835,18.82149237637432', '-104.7036257386774,21.43835906908844', '-103.784102458271,24.98146100438804', '-102.8192730937335,28.51888432470772', '-101.7991330245616,32.04952683004467', '-100.711373635995,35.57211883455904', '-99.54058990045505,39.08515430309331', '-98.26714861016042,42.58679034561435', '-96.86555575779981,46.07469895567944', '-95.30204149948925,49.54584379039661', '-93.53089895028056,52.99613587591293', '-91.48878626621212,56.41988721135819', '-89.08561080847996,59.80891470644988', '-86.18953419091132,63.15101535335447', '-82.60171988157617,66.42726947445244', '-78.01304650311008,69.60703884513112', '-71.93188395204403,72.63841957515436', '-63.57852372583646,75.42972271042923', '-51.81815355596869,77.81600739260205', '-35.53718945126568,79.51794806374704', '-15.30840082077135,80.17022816152162', '-15.39498527314135,81.47672368818945']",2020-03-31
250,"['-108.6210879876165,10.76686464325008', '-109.9079362737732,11.04766565529231', '-110.149436629939,9.954637659986378', '-108.866972138055,9.673894665607467', '-107.5867646962629,9.388426892270779', '-107.3367681001751,10.48079417472008', '-108.6210879876165,10.76686464325008']",2020-03-31
251,"['-37.13854938410004,81.47199521684509', '-36.6533603734694,82.77785118980076', '-63.78828077819254,82.13695594301279', '-83.5119330080162,80.17476895030691', '-95.94241687898335,77.49817394297001', '-103.9385912424737,74.47160243183002', '-109.4154703676657,71.26307639854531', '-113.4042599450561,67.95101824122769', '-116.4630762639021,64.5749709684679', '-118.9095872691358,61.15651931564963', '-120.9348105437111,57.70828213159996', '-122.6594874700999,54.23807592301422', '-124.1633466385186,50.75099135290938', '-125.5009925666081,47.25049076801454', '-126.7110932778589,43.73903381346695', '-127.821828948223,40.21844237500707', '-127.8887287247784,39.9972547281569', '-126.24622751406,39.69063618851067', '-124.6192075651696,39.36117569205026', '-124.5420365171572,39.58120311539564', '-123.2521724651136,43.08105193373439', '-121.829949759605,46.56679299295718', '-120.240168746458,50.03526547885237', '-118.4350397885669,53.48219404515791', '-116.3481079541957,56.90160483243247', '-113.8844510584272,60.28485699972102', '-110.9045995677188,63.61899840421128', '-107.19725759031,66.88382475947724', '-102.4327118981244,70.04641972134097', '-96.08557194462988,73.05065896443918', '-87.32663026218042,75.79692394523282', '-74.98102226533987,78.10633330692981', '-58.03613306990137,79.68225103013128', '-37.49557249286848,80.16610759578173', '-37.13854938410004,81.47199521684509']",2020-03-31
252,"['-137.8164323779815,-7.389371394701119', '-139.0930715975565,-7.10419026992943', '-139.9034112260228,-10.65796740073723', '-139.9269710162349,-10.76015456901382', '-138.6363636249501,-11.04762496082811', '-137.3431361631345,-11.32964180053078', '-137.3205383437235,-11.22736405192151', '-136.5380788853055,-7.670936500674374', '-137.8164323779815,-7.389371394701119']",2020-03-31
253,"['-139.3361791609576,-14.12062341852191', '-140.6429364742406,-13.83080538764842', '-141.4925945987137,-17.37797315477763', '-142.3711949270177,-20.92050365382274', '-142.5793524373027,-21.73961269838356', '-141.2105904915976,-22.03761806074681', '-139.8359358805807,-22.32425027571694', '-139.6438617492316,-21.50358636072084', '-138.8266313429932,-17.95519154643141', '-138.0259876447628,-14.40340351720407', '-139.3361791609576,-14.12062341852191']",2020-03-31
254,"['-142.5734259657514,-27.42731749563625', '-144.0037040127587,-27.12149680248724', '-144.3041735003609,-28.20509656644968', '-142.8593209681143,-28.51276698432645', '-141.4059281686953,-28.80512510084843', '-141.1351076484029,-27.71851769234272', '-142.5734259657514,-27.42731749563625']",2020-03-31
255,"['-64.48047976394724,81.48097488109892', '-64.37588361676471,82.78840978865351', '-91.08056489470003,82.00563598955056', '-110.0499848137418,79.95732545883378', '-121.9755444805403,77.23852770736065', '-129.6852452683081,74.19074847018622', '-134.9965715498881,70.9705878779438', '-138.8842907010312,67.65156583879093', '-141.8779186771371,64.2710275274296', '-144.2803460549876,60.84949312316286', '-145.2611420191563,59.2292298316779', '-142.8474784470556,58.8345111597859', '-140.491867328403,58.39595486207961', '-139.2979427565316,59.98433325453044', '-136.3714897218636,63.3235487627254', '-132.740372943382,66.59566531561633', '-128.0880693506805,69.76922931311995', '-121.9107742574293,72.79082609160015', '-113.4107498065552,75.5659262069518', '-101.4376483054981,77.92456175263037', '-84.91084636140562,79.58097446709921', '-64.55739433171956,80.17392564714135', '-64.48047976394724,81.48097488109892']",2020-03-31
256,"['-156.3762591869619,21.86573316587022', '-157.7385227659665,22.14993171850927', '-158.4385277706266,19.13588374478972', '-157.1026738196262,18.85316805011636', '-155.7715808941045,18.56100348975074', '-155.0197366846729,21.57043463616462', '-156.3762591869619,21.86573316587022']",2020-03-31
257,"['-90.65262662783647,81.47796176270845', '-90.72340754179585,82.78486789413796', '-116.4818509975703,81.99070540658903', '-112.9700394010898,80.79296020825544', '-110.2688496468862,79.56941644205196', '-90.60052848205103,80.17130508800649', '-90.65262662783647,81.47796176270845']",2020-03-31
258,"['-153.6886119583411,72.1227272808592', '-157.5052364364325,72.73896310846405', '-162.0806615631535,69.46746449808846', '-165.5123413083348,66.11706992742474', '-168.2078923650124,62.7159408816011', '-170.406489539595,59.28006233327898', '-172.2560375163348,55.8190901720109', '-173.852340477607,52.33917498938613', '-174.2349088872814,51.43055323128715', '-172.2302702796998,51.08595712515544', '-170.257284325186,50.70771822038427', '-169.7988299149534,51.60632034859177', '-167.875171752658,55.0416035545768', '-165.6308243429444,58.44584527363956', '-162.9531329459331,61.80870706264777', '-159.6742574554244,65.11441437985032', '-155.5363767420319,68.33788011074894', '-150.1325982810617,71.43738470612696', '-153.6886119583411,72.1227272808592']",2020-03-31
259,"['174.5079769681579,4.72835743931441', '173.2391522193862,5.009369438802829', '172.45808954968,1.45030299472051', '171.9171295491543,-1.005912414278463', '173.1825711571259,-1.288369795827495', '174.4483062300033,-1.57020173845948', '174.9880219837904,0.8862936035199652', '175.7757203160934,4.445049919447527', '174.5079769681579,4.72835743931441']",2020-03-31
260,"['170.2057500446193,-14.59184379995893', '168.8961418421246,-14.30162837286919', '168.0429984745708,-17.8482285151545', '167.160070573503,-21.39008089959564', '166.6203547946561,-23.48509464890445', '168.0071871518861,-23.78540408357205', '169.4005549808597,-24.07331870568255', '169.8965326155502,-21.97404520058305', '170.7163727331838,-18.42614967452115', '171.5189227454676,-14.87477426717432', '170.2057500446193,-14.59184379995893']",2020-03-31
261,"['157.8336861107485,-53.8165930723596', '155.7088584430041,-53.41342073370706', '155.1038735352633,-54.46297472556027', '157.2800502724825,-54.87416351469707', '159.4995566903687,-55.24578313666363', '159.9984543868823,-54.18161154498202', '157.8336861107485,-53.8165930723596']",2020-03-31
262,"['-178.4151714424401,72.35846035423916', '-182.2695909070239,72.98215600809138', '-186.9558464022396,69.71835194016536', '-190.4569483218814,66.37272876438684', '-193.1983501087429,62.97477546021187', '-195.4285527210178,59.54113275939964', '-197.3006802831647,56.08181259083791', '-198.3881298876596,53.79114593693002', '-196.2780453323217,53.43426140617424', '-194.2054881955568,53.04095422667643', '-192.8924786031464,55.30049840332652', '-190.619807377714,58.70202116472966', '-187.9033462506452,62.06119509953918', '-184.5698957147312,65.36170619213176', '-180.3528334592049,68.57752946789847', '-174.8305740713169,71.66521787097219', '-178.4151714424401,72.35846035423916']",2020-04-01
263,"['148.1800807831924,-0.5052252665899997', '146.9150042114715,-0.2230242743572002', '146.127266750147,-3.780809979625329', '145.3298869760795,-7.336859471614462', '144.5184886654655,-10.89045365519322', '143.6883289019485,-14.44085084363862', '142.8341350280373,-17.98727998538194', '141.9499059316732,-21.52892855580197', '141.028667489499,-25.06492577753645', '140.0621538455108,-28.5943192129745', '139.040385501082,-32.11604107519988', '137.9510978415972,-35.62886018036859', '137.1996198197214,-37.90708754060389', '138.8152965512805,-38.23690381143734', '140.4456058603512,-38.54444938733662', '141.1004242765108,-36.25547743882974', '142.059745379769,-32.7286494972582', '142.9714468659691,-29.19547563393679', '143.8452453539544,-25.65673924954893', '144.689112931723,-22.1131584587247', '145.5097377531565,-18.56541282422571', '146.312863947166,-15.01416168869581', '147.1035524204401,-11.46005668564258', '147.8863783343822,-7.903750303752641', '148.6655919832347,-4.345901786809658', '149.4452723539247,-0.7871811003966396', '148.1800807831924,-0.5052252665899997']",2020-04-01
264,"['156.2952318665773,72.29876843359584', '152.4504211234403,72.92055399348215', '147.7926637727508,69.65477019047918', '144.3094016638316,66.30791993192885', '141.5797971426518,62.90914819878452', '139.3577205950073,59.47493027609838', '137.4913693982315,56.015188216764', '135.8826929462248,52.53622063973957', '134.4657194081086,49.04222127603418', '133.1944777078094,45.53610591942015', '132.0359465042756,42.01998786618663', '130.965753819959,38.49546470263598', '129.965463068664,34.9637973182728', '129.020804591101,31.42602507397536', '128.1204895027562,27.88304170122496', '127.4971834432128,25.3403182204343', '128.892859678072,25.05399903167705', '130.2816279477974,24.75475609644152', '130.9659591895361,27.29164861651133', '131.9656355047944,30.82477914897577', '133.0283549347578,34.35032260946247', '134.1683385671345,37.866864525198', '135.4035971142034,41.37269284314829', '136.7573638300091,44.86566867469451', '138.2601969750503,48.3430331181622', '139.9531395066399,51.8011119362297', '141.8925910184358,55.23485172114022', '144.1580191750689,58.63706924364383', '146.8645364870507,61.99718966798104', '150.1839798929177,65.29903620199471', '154.3807309745183,68.51682197419721', '159.8725917383104,71.60754603357431', '156.2952318665773,72.29876843359584']",2020-04-01
265,"['126.2080790603076,13.86064535106213', '124.9060231368544,14.14185657727502', '124.1154332893098,10.58408680429237', '123.331840877409,7.025283428543784', '122.5510194576216,3.466119856593626', '121.7688967516633,-0.09272404923955187', '120.981430714034,-3.650559545862688', '120.1844789519047,-7.206684802244549', '119.3736759602769,-10.76038143913333', '118.544293787752,-14.31090915318523', '117.691080776661,-17.8574979385481', '116.8080665696175,-21.39933678333454', '115.8883177264681,-24.9355573645459', '114.9236223127471,-28.46521071283315', '113.9040724740263,-31.98723395688727', '113.0514375222801,-34.76507795913609', '114.60296833057,-35.08645209609949', '116.1667642934527,-35.38798100108824', '116.9190588797055,-32.59938044196355', '117.8292223155358,-29.06598984790628', '118.7018005219863,-25.52706383951732', '119.5447114912617,-21.98331875931212', '120.3646035334061,-18.43543318974143', '121.1671916071541,-14.884066033125', '121.9575129488905,-11.32986887181961', '122.7401278639185,-7.773494379992205', '123.5192837407756,-4.215602068638029', '124.2990554998515,-0.6568623472733224', '125.0834726957121,2.902040287280014', '125.8766425972149,6.460404203942502', '126.6828713702483,10.01750703640809', '127.506805788438,13.57260080919395', '126.2080790603076,13.86064535106213']",2020-04-01
266,"['148.3924240055263,77.99201173509519', '143.6725102911798,78.89557184511857', '133.7739092897777,76.0138010735064', '127.211058887439,72.88250796895025', '122.5707518293597,69.61551260866371', '119.0984172686128,66.26791117283568', '116.3760197423633,62.86864046432619', '114.158908325087,59.43407140423532', '112.2961283189596,55.97406763452863', '110.6900822819721,52.49489872502912', '109.2750674058384,49.00074129381089', '108.0053289721918,45.494496736967', '106.8479691041061,41.97827087169799', '105.7786995447261,38.45365643610354', '104.7791418971398,34.921911141902', '103.8350677872694,31.38407226136569', '102.9352181124274,27.84103216222167', '102.0704893998093,24.29358900115244', '101.23335870645,20.74248115010991', '100.4174666915097,17.18841070882354', '99.61730313384929,13.63205984724503', '98.82797868340839,10.07410119489307', '98.04503374531967,6.515205171641964', '97.26427330810724,2.956045701374809', '96.48163628552909,-0.6026964148306504', '96.1771148858172,-1.980916046934988', '97.44335438698371,-2.263722161065909', '98.7101102450055,-2.545428539957132', '99.01228861417579,-1.166912735522346', '99.79579094256638,2.39200917562034', '100.5874465269753,5.950494099448242', '101.3915271124733,9.507822922705062', '102.2126226981418,13.0632516998804', '103.0557935292547,16.61600491479798', '103.9267541473458,20.16526568503402', '104.8321039832883,23.7101614018848', '105.7796156875173,27.24974310659988', '106.7786188402906,30.78295597175121', '107.8405154067861,34.30859709078356', '108.9794882839211,37.82525490623549', '110.2134959878685,41.33122152767419', '111.5656992757276,44.82436407457231', '113.0665537994783,48.30193243925639', '114.7569541256271,51.76026548825215', '116.6930611121295,55.19433207635773', '118.9540240637796,58.59697871180971', '121.654450334106,61.95767853050116', '124.9653163166371,65.26034172772594', '129.1496121219439,68.47933011182373', '134.6228339705579,71.57191386941354', '142.0480588151475,74.463642862287', '152.4373725872792,77.02078210700124', '148.3924240055263,77.99201173509519']",2020-04-01
267,"['117.0233719791852,76.53056196360286', '112.4674282060872,77.33594927048668', '104.652308187726,74.29595547004041', '99.27998257737012,71.08007684196328', '95.3549649092499,67.76362369417845', '92.33722989834794,64.38474716763672', '89.91845079795495,60.96435830637013', '87.91271736328616,57.51472092517515', '86.20218674538256,54.04345689548318', '84.70889175506642,50.55554128628476', '83.37929489933717,47.05436916312254', '82.17542661824396,43.54235714274726', '81.06958001874259,40.02129891721726', '80.04101254466046,36.49258385992262', '79.07382537291032,32.95733594550512', '78.15555829506877,29.41650442093074', '77.27622418942596,25.870924667686', '76.42766280161158,22.32135787585051', '75.60304716910419,18.76851964235363', '74.79652480475767,15.21309927574826', '74.00295698243249,11.65577244250133', '73.4044830437539,8.94606281012401', '74.68335039881326,8.665334597316507', '75.96020672012202,8.380381230449077', '76.57929030267366,11.08849334858059', '77.40953801386668,14.6428307810004', '78.26430923385919,18.19413539304478', '79.14968132498206,21.74156757798395', '80.07273430382895,25.2842237381095', '81.04187601228237,28.82111219710741', '82.06728005338754,32.35111865481797', '83.16148626569182,35.87295623569973', '84.34021138053021,39.38509456970891', '85.62351718839932,42.88565591797762', '87.0374971935007,46.37226175953179', '88.61677667511732,49.84180137675603', '90.40831104935019,53.29007411113584', '92.47731094905059,56.71122012220719', '94.91674423925144,60.09678405225627', '97.86300226445647,63.43411633897938', '101.5223378672493,66.70353442650696', '106.2161426894797,69.87304652444186', '112.4562009516019,72.8882409494594', '121.0519435701616,75.65271797206304', '117.0233719791852,76.53056196360286']",2020-04-01
268,"['74.15342244864158,6.285267600862645', '72.88137806672722,6.566103555382164', '72.10061641925124,3.006942971884334', '71.31803544949851,-0.5518100630384911', '70.52958353403008,-4.109464944075798', '70.28027515385803,-5.225638312048215', '71.55187582545031,-5.509839965871882', '72.82474445794118,-5.791354348278102', '73.06916216529427,-4.67468639563059', '73.8486298086554,-1.116017862402339', '74.63222009117141,2.442902771069842', '75.4240226689072,6.001376278902987', '74.15342244864158,6.285267600862645']",2020-04-01
